,Unnamed: 0,Ticker_Symbol,Years,Period_Ending, Total _Revenue ,Revenue,COGS ," Sales, General and Admin. ",R&D,Unnamed: 9,Unnamed: 10, Other_Operating_expense,GICS_Sector,GICS_Sub_Industry,Unnamed: 14,Unnamed: 15,Column1,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
11,11,AAPL,Year 4,9/24/2016," $215,639,000,000 ",215639000000.0," $131,376,000,000 "," $14,194,000,000 "," $10,045,000,000 "," 10,045,000,000 "," 10,045,000,000 ", $-   ,Information Technology,Computer Hardware,,,Maximum,485651000000.0,," 10,045,000,000 ",," 10,045,000,000 "
12,12,ABBV,Year 1,12/31/2012," $18,380,000,000 ",18380000000.0," $4,508,000,000 "," $4,989,000,000 "," $2,778,000,000 "," 2,778,000,000 "," 2,778,000,000 ", $-   ,Health Care,Pharmaceuticals,,,Sum,35432900000000.0,," 2,778,000,000 ",," 2,778,000,000 "
13,13,ABBV,Year 2,12/31/2013," $18,790,000,000 ",18790000000.0," $4,581,000,000 "," $5,352,000,000 "," $2,855,000,000 "," 2,855,000,000 "," 2,855,000,000 ", $-   ,Health Care,Pharmaceuticals,,,Count,1710.0,," 2,855,000,000 ",," 2,855,000,000 "
14,14,ABBV,Year 3,12/31/2014," $19,960,000,000 ",19960000000.0," $4,426,000,000 "," $8,474,000,000 "," $3,297,000,000 "," 3,297,000,000 "," 3,297,000,000 ", $-   ,Health Care,Pharmaceuticals,,,,,," 3,297,000,000 ",," 3,297,000,000 "
15,15,ABBV,Year 4,12/31/2015," $22,859,000,000 ",22859000000.0," $4,500,000,000 "," $6,387,000,000 "," $4,285,000,000 "," 4,285,000,000 "," 4,285,000,000 ", $-   ,Health Care,Pharmaceuticals,,,,,," 4,285,000,000 ",," 4,285,000,000 "
16,16,ABC,Year 1,9/30/2013," $87,959,167,000 ",87959167000.0," $85,451,348,000 "," $1,447,234,000 ", $-   , -   ,    ," $162,186,000 ",Health Care,Health Care Distributors,,,Bin_range,,,    ,,    
17,17,ABC,Year 2,9/30/2014," $119,569,127,000 ",119569127000.0," $116,586,761,000 "," $2,011,595,000 ", $-   , -   ,    ," $188,680,000 ",Health Care,Health Care Distributors,,,1000000000.00,,,    ,,    
18,18,ABC,Year 3,9/30/2015," $135,961,803,000 ",135961803000.0," $132,432,490,000 "," $2,858,458,000 ", $-   , -   ,    ," $248,635,000 ",Health Care,Health Care Distributors,,,5000000000.00,,,    ,,    
19,19,ABC,Year 4,9/30/2016," $146,849,686,000 ",146849686000.0," $142,577,080,000 "," $2,382,097,000 ", $-   , -   ,    ," $364,735,000 ",Health Care,Health Care Distributors,,,10000000000.00,,,    ,,    
20,20,ABT,Year 1,12/31/2012," $19,050,000,000 ",19050000000.0," $8,899,000,000 "," $6,735,000,000 "," $1,461,000,000 "," 1,461,000,000 "," 1,461,000,000 "," $595,000,000 ",Health Care,Health Care Equipment,,,15000000000.00,,," 1,461,000,000 ",," 1,461,000,000 "
21,21,ABT,Year 2,12/31/2013," $19,657,000,000 ",19657000000.0," $9,193,000,000 "," $6,372,000,000 "," $1,371,000,000 "," 1,371,000,000 "," 1,371,000,000 "," $588,000,000 ",Health Care,Health Care Equipment,,,20000000000.00,,," 1,371,000,000 ",," 1,371,000,000 "
22,22,ABT,Year 3,12/31/2014," $20,247,000,000 ",20247000000.0," $9,218,000,000 "," $6,530,000,000 "," $1,345,000,000 "," 1,345,000,000 "," 1,345,000,000 "," $555,000,000 ",Health Care,Health Care Equipment,,,1000000000.00,,," 1,345,000,000 ",," 1,345,000,000 "
23,23,ABT,Year 4,12/31/2015," $20,405,000,000 ",20405000000.0," $8,747,000,000 "," $6,785,000,000 "," $1,405,000,000 "," 1,405,000,000 "," 1,405,000,000 "," $601,000,000 ",Health Care,Health Care Equipment,,,100000000000.00,,," 1,405,000,000 ",," 1,405,000,000 "
24,24,ADBE,Year 1,11/29/2013," $4,055,240,000 ",4055240000.0," $586,557,000 "," $2,140,578,000 "," $826,631,000 "," 826,631,000 "," 826,631,000 "," $52,254,000 ",Information Technology,Application Software,,,200000000000.00,,," 826,631,000 ",," 826,631,000 "
25,25,ADBE,Year 2,11/28/2014," $4,147,065,000 ",4147065000.0," $622,080,000 "," $2,195,640,000 "," $844,353,000 "," 844,353,000 "," 844,353,000 "," $52,424,000 ",Information Technology,Application Software,,,300000000000.00,,," 844,353,000 ",," 844,353,000 "
26,26,ADBE,Year 3,11/27/2015," $4,795,511,000 ",4795511000.0," $744,317,000 "," $2,215,161,000 "," $862,730,000 "," 862,730,000 "," 862,730,000 "," $68,649,000 ",Information Technology,Application Software,,,400000000000.00,,," 862,730,000 ",," 862,730,000 "
27,27,ADBE,Year 4,12-02-2016," $5,854,430,000 ",5854430000.0," $819,908,000 "," $2,487,907,000 "," $975,987,000 "," 975,987,000 "," 975,987,000 "," $78,534,000 ",Information Technology,Application Software,,,500000000000.00,,," 975,987,000 ",," 975,987,000 "
28,28,ADI,Year 1,11-02-2013," $2,633,689,000 ",2633689000.0," $941,278,000 "," $396,233,000 "," $513,035,000 "," 513,035,000 "," 513,035,000 "," $220,000 ",Information Technology,Semiconductors,,,,,," 513,035,000 ",," 513,035,000 "
29,29,ADI,Year 2,11-01-2014," $2,864,773,000 ",2864773000.0," $1,034,585,000 "," $454,676,000 "," $559,686,000 "," 559,686,000 "," 559,686,000 "," $26,020,000 ",Information Technology,Semiconductors,,,,,," 559,686,000 ",," 559,686,000 "
30,30,ADI,Year 3,10/31/2015," $3,435,092,000 ",3435092000.0," $1,175,830,000 "," $702,644,000 "," $637,459,000 "," 637,459,000 "," 637,459,000 "," $88,318,000 ",Information Technology,Semiconductors,,,,,," 637,459,000 ",," 637,459,000 "
31,31,ADI,Year 4,10/29/2016," $3,421,409,000 ",3421409000.0," $1,194,236,000 "," $461,438,000 "," $653,816,000 "," 653,816,000 "," 653,816,000 "," $70,123,000 ",Information Technology,Semiconductors,,,,,," 653,816,000 ",," 653,816,000 "
32,32,ADM,Year 1,12/31/2012," $90,559,000,000 ",90559000000.0," $86,936,000,000 "," $1,665,000,000 ", $-   , -   ,    , $-   ,Consumer Staples,Agricultural Products,,,,,,    ,,    
33,33,ADM,Year 2,12/31/2013," $89,804,000,000 ",89804000000.0," $85,915,000,000 "," $1,759,000,000 ", $-   , -   ,    , $-   ,Consumer Staples,Agricultural Products,,,,,,    ,,    
34,34,ADM,Year 3,12/31/2014," $81,201,000,000 ",81201000000.0," $76,433,000,000 "," $1,907,000,000 ", $-   , -   ,    , $-   ,Consumer Staples,Agricultural Products,,,,,,    ,,    
35,35,ADM,Year 4,12/31/2015," $67,702,000,000 ",67702000000.0," $63,682,000,000 "," $2,010,000,000 ", $-   , -   ,    , $-   ,Consumer Staples,Agricultural Products,,,,,,    ,,    
36,36,ADS,Year 1,12/31/2012," $3,641,390,000 ",3641390000.0," $2,392,091,000 "," $108,059,000 ", $-   , -   ,    ," $166,876,000 ",Information Technology,Data Processing & Outsourced Services,,,,,,    ,,    
37,37,ADS,Year 2,12/31/2013," $4,319,063,000 ",4319063000.0," $2,894,917,000 "," $109,115,000 ", $-   , -   ,    ," $216,119,000 ",Information Technology,Data Processing & Outsourced Services,,,,,,    ,,    
38,38,ADS,Year 3,12/31/2014," $5,302,940,000 ",5302940000.0," $3,643,979,000 "," $247,412,000 ", $-   , -   ,    ," $313,082,000 ",Information Technology,Data Processing & Outsourced Services,,,,,,    ,,    
39,39,ADS,Year 4,12/31/2015," $6,439,746,000 ",6439746000.0," $4,482,700,000 "," $203,046,000 ", $-   , -   ,    ," $492,140,000 ",Information Technology,Data Processing & Outsourced Services,,,,,,    ,,    
40,40,ADSK,Year 1,1/31/2013," $2,312,200,000 ",2312200000.0," $238,500,000 "," $1,081,800,000 "," $600,000,000 "," 600,000,000 "," 600,000,000 "," $42,100,000 ",Information Technology,Application Software,,,,,," 600,000,000 ",," 600,000,000 "
41,41,ADSK,Year 2,1/31/2014," $2,273,900,000 ",2273900000.0," $274,300,000 "," $1,054,400,000 "," $611,100,000 "," 611,100,000 "," 611,100,000 "," $36,500,000 ",Information Technology,Application Software,,,,,," 611,100,000 ",," 611,100,000 "
42,42,ADSK,Year 3,1/31/2015," $2,512,200,000 ",2512200000.0," $342,100,000 "," $1,281,300,000 "," $725,200,000 "," 725,200,000 "," 725,200,000 "," $39,800,000 ",Information Technology,Application Software,,,,,," 725,200,000 ",," 725,200,000 "
43,43,ADSK,Year 4,1/31/2016," $2,504,100,000 ",2504100000.0," $370,700,000 "," $1,308,900,000 "," $790,000,000 "," 790,000,000 "," 790,000,000 "," $33,200,000 ",Information Technology,Application Software,,,,,," 790,000,000 ",," 790,000,000 "
44,44,AEE,Year 1,12/31/2012," $5,781,000,000 ",5781000000.0," $3,477,000,000 "," $443,000,000 ", $-   , -   ,    ," $673,000,000 ",Utilities,MultiUtilities,,,,,,    ,,    
45,45,AEE,Year 2,12/31/2013," $5,838,000,000 ",5838000000.0," $3,490,000,000 "," $458,000,000 ", $-   , -   ,    ," $706,000,000 ",Utilities,MultiUtilities,,,,,,    ,,    
46,46,AEE,Year 3,12/31/2014," $6,053,000,000 ",6053000000.0," $3,586,000,000 "," $468,000,000 ", $-   , -   ,    ," $745,000,000 ",Utilities,MultiUtilities,,,,,,    ,,    
47,47,AEE,Year 4,12/31/2015," $6,098,000,000 ",6098000000.0," $3,501,000,000 "," $542,000,000 ", $-   , -   ,    ," $796,000,000 ",Utilities,MultiUtilities,,,,,,    ,,    
48,48,AEP,Year 1,12/31/2012," $14,945,000,000 ",14945000000.0," $6,395,000,000 "," $3,812,000,000 ", $-   , -   ,    ," $1,782,000,000 ",Utilities,Electric Utilities,,,,,,    ,,    
49,49,AEP,Year 2,12/31/2013," $14,813,500,000 ",14813500000.0," $6,722,300,000 "," $3,329,800,000 ", $-   , -   ,    ," $1,712,500,000 ",Utilities,Electric Utilities,,,,,,    ,,    
50,50,AEP,Year 3,12/31/2014," $16,378,600,000 ",16378600000.0," $7,685,700,000 "," $3,667,900,000 ", $-   , -   ,    ," $1,897,600,000 ",Utilities,Electric Utilities,,,,,,    ,,    
51,51,AEP,Year 4,12/31/2015," $16,453,200,000 ",16453200000.0," $7,433,500,000 "," $3,676,500,000 ", $-   , -   ,    ," $2,009,700,000 ",Utilities,Electric Utilities,,,,,,    ,,    
52,52,AFL,Year 1,12/31/2012," $25,364,000,000 ",25364000000.0," $17,074,000,000 ", $-   , $-   , -   ,    ," $3,727,000,000 ",Financials,Life & Health Insurance,,,,,,    ,,    
53,53,AFL,Year 2,12/31/2013," $23,939,000,000 ",23939000000.0," $15,341,000,000 ", $-   , $-   , -   ,    ," $3,489,000,000 ",Financials,Life & Health Insurance,,,,,,    ,,    
54,54,AFL,Year 3,12/31/2014," $22,728,000,000 ",22728000000.0," $14,373,000,000 ", $-   , $-   , -   ,    ," $3,547,000,000 ",Financials,Life & Health Insurance,,,,,,    ,,    
55,55,AFL,Year 4,12/31/2015," $20,872,000,000 ",20872000000.0," $13,049,000,000 ", $-   , $-   , -   ,    ," $3,672,000,000 ",Financials,Life & Health Insurance,,,,,,    ,,    
56,56,AIG,Year 1,12/31/2012," $71,214,000,000 ",71214000000.0," $37,745,000,000 "," $21,491,000,000 ", $-   , -   ,    , $-   ,Financials,Property & Casualty Insurance,,,,,,    ,,    
57,57,AIG,Year 2,12/31/2013," $68,874,000,000 ",68874000000.0," $34,660,000,000 "," $22,005,000,000 ", $-   , -   ,    , $-   ,Financials,Property & Casualty Insurance,,,,,,    ,,    
58,58,AIG,Year 3,12/31/2014," $64,406,000,000 ",64406000000.0," $33,611,000,000 "," $18,491,000,000 ", $-   , -   ,    , $-   ,Financials,Property & Casualty Insurance,,,,,,    ,,    
59,59,AIG,Year 4,12/31/2015," $58,327,000,000 ",58327000000.0," $36,581,000,000 "," $16,417,000,000 ", $-   , -   ,    , $-   ,Financials,Property & Casualty Insurance,,,,,,    ,,    
60,60,AIV,Year 1,12/31/2012," $958,511,000 ",958511000.0," $386,355,000 "," $61,732,000 ", $-   , -   ,    ," $325,173,000 ",Real Estate,REITs,,,,,,    ,,    
61,61,AIV,Year 2,12/31/2013," $974,053,000 ",974053000.0," $380,051,000 "," $53,073,000 ", $-   , -   ,    ," $291,910,000 ",Real Estate,REITs,,,,,,    ,,    
62,62,AIV,Year 3,12/31/2014," $984,363,000 ",984363000.0," $380,964,000 "," $56,621,000 ", $-   , -   ,    ," $282,608,000 ",Real Estate,REITs,,,,,,    ,,    
63,63,AIV,Year 4,12/31/2015," $981,310,000 ",981310000.0," $365,248,000 "," $53,546,000 ", $-   , -   ,    ," $306,301,000 ",Real Estate,REITs,,,,,,    ,,    
64,64,AIZ,Year 1,12/31/2013," $9,047,657,000 ",9047657000.0," $6,709,936,000 ", $-   , $-   , -   ,    ," $1,470,287,000 ",Financials,Multi-line Insurance,,,,,,    ,,    
65,65,AIZ,Year 2,12/31/2014," $10,381,653,000 ",10381653000.0," $8,093,563,000 ", $-   , $-   , -   ,    ," $1,485,558,000 ",Financials,Multi-line Insurance,,,,,,    ,,    
66,66,AIZ,Year 3,12/31/2015," $10,325,494,000 ",10325494000.0," $8,666,624,000 ", $-   , $-   , -   ,    ," $1,402,573,000 ",Financials,Multi-line Insurance,,,,,,    ,,    
67,67,AIZ,Year 4,12/31/2016," $7,531,780,000 ",7531780000.0," $5,251,228,000 ", $-   , $-   , -   ,    ," $1,351,314,000 ",Financials,Multi-line Insurance,,,,,,    ,,    
68,72,AKAM,Year 1,12/31/2012," $1,373,947,000 ",1373947000.0," $529,900,000 "," $433,448,000 "," $74,744,000 "," 74,744,000 "," 74,744,000 "," $20,962,000 ",Information Technology,Internet Software & Services,,,,,," 74,744,000 ",," 74,744,000 "
69,73,AKAM,Year 2,12/31/2013," $1,577,922,000 ",1577922000.0," $511,087,000 "," $535,598,000 "," $93,879,000 "," 93,879,000 "," 93,879,000 "," $21,547,000 ",Information Technology,Internet Software & Services,,,,,," 93,879,000 ",," 93,879,000 "
70,74,AKAM,Year 3,12/31/2014," $1,963,874,000 ",1963874000.0," $610,943,000 "," $704,880,000 "," $125,286,000 "," 125,286,000 "," 125,286,000 "," $32,057,000 ",Information Technology,Internet Software & Services,,,,,," 125,286,000 ",," 125,286,000 "
71,75,AKAM,Year 4,12/31/2015," $2,197,448,000 ",2197448000.0," $725,620,000 "," $829,253,000 "," $148,591,000 "," 148,591,000 "," 148,591,000 "," $27,067,000 ",Information Technology,Internet Software & Services,,,,,," 148,591,000 ",," 148,591,000 "
72,76,ALB,Year 1,12/31/2012," $2,519,154,000 ",2519154000.0," $1,620,311,000 "," $308,456,000 "," $78,919,000 "," 78,919,000 "," 78,919,000 ", $-   ,Materials,Specialty Chemicals,,,,,," 78,919,000 ",," 78,919,000 "
73,77,ALB,Year 2,12/31/2013," $2,394,270,000 ",2394270000.0," $1,543,799,000 "," $158,189,000 "," $82,246,000 "," 82,246,000 "," 82,246,000 ", $-   ,Materials,Specialty Chemicals,,,,,," 82,246,000 ",," 82,246,000 "
74,78,ALB,Year 3,12/31/2014," $2,445,548,000 ",2445548000.0," $1,674,700,000 "," $355,135,000 "," $88,310,000 "," 88,310,000 "," 88,310,000 ", $-   ,Materials,Specialty Chemicals,,,,,," 88,310,000 ",," 88,310,000 "
75,79,ALB,Year 4,12/31/2015," $3,651,335,000 ",3651335000.0," $2,454,463,000 "," $512,274,000 "," $102,871,000 "," 102,871,000 "," 102,871,000 ", $-   ,Materials,Specialty Chemicals,,,,,," 102,871,000 ",," 102,871,000 "
76,80,ALK,Year 1,12/31/2012," $4,657,000,000 ",4657000000.0," $2,319,000,000 "," $1,542,000,000 ", $-   , -   ,    ," $264,000,000 ",Industrials,Airlines,,,,,,    ,,    
77,81,ALK,Year 2,12/31/2013," $5,156,000,000 ",5156000000.0," $2,355,000,000 "," $1,693,000,000 ", $-   , -   ,    ," $270,000,000 ",Industrials,Airlines,,,,,,    ,,    
78,82,ALK,Year 3,12/31/2014," $5,368,000,000 ",5368000000.0," $2,325,000,000 "," $1,817,000,000 ", $-   , -   ,    ," $294,000,000 ",Industrials,Airlines,,,,,,    ,,    
79,83,ALK,Year 4,12/31/2015," $5,598,000,000 ",5598000000.0," $1,935,000,000 "," $2,013,000,000 ", $-   , -   ,    ," $320,000,000 ",Industrials,Airlines,,,,,,    ,,    
80,84,ALL,Year 1,12/31/2012," $33,315,000,000 ",33315000000.0," $21,618,000,000 ", $-   , $-   , -   ,    ," $8,002,000,000 ",Financials,Property & Casualty Insurance,,,,,,    ,,    
81,85,ALL,Year 2,12/31/2013," $34,507,000,000 ",34507000000.0," $19,828,000,000 "," $1,278,000,000 ", $-   , -   ,    ," $8,389,000,000 ",Financials,Property & Casualty Insurance,,,,,,    ,,    
82,86,ALL,Year 3,12/31/2014," $35,239,000,000 ",35239000000.0," $21,193,000,000 "," $919,000,000 ", $-   , -   ,    ," $8,476,000,000 ",Financials,Property & Casualty Insurance,,,,,,    ,,    
83,87,ALL,Year 4,12/31/2015," $35,653,000,000 ",35653000000.0," $22,837,000,000 "," $761,000,000 ", $-   , -   ,    ," $8,445,000,000 ",Financials,Property & Casualty Insurance,,,,,,    ,,    
84,88,ALLE,Year 1,12/31/2013," $2,069,600,000 ",2069600000.0," $1,208,100,000 "," $483,100,000 ", $-   , -   ,    , $-   ,Industrials,Building Products,,,,,,    ,,    
85,89,ALLE,Year 2,12/31/2014," $2,118,300,000 ",2118300000.0," $1,264,600,000 "," $527,400,000 ", $-   , -   ,    , $-   ,Industrials,Building Products,,,,,,    ,,    
86,90,ALLE,Year 3,12/31/2015," $2,068,100,000 ",2068100000.0," $1,199,000,000 "," $510,500,000 ", $-   , -   ,    , $-   ,Industrials,Building Products,,,,,,    ,,    
87,91,ALLE,Year 4,12/31/2016," $2,238,000,000 ",2238000000.0," $1,252,700,000 "," $559,800,000 ", $-   , -   ,    , $-   ,Industrials,Building Products,,,,,,    ,,    
88,92,ALXN,Year 1,12/31/2013," $1,551,346,000 ",1551346000.0," $177,556,000 "," $493,726,000 "," $317,093,000 "," 317,093,000 "," 317,093,000 "," $417,000 ",Health Care,Biotechnology,,,,,," 317,093,000 ",," 317,093,000 "
89,93,ALXN,Year 2,12/31/2014," $2,234,000,000 ",2234000000.0," $174,000,000 "," $650,000,000 "," $514,000,000 "," 514,000,000 "," 514,000,000 ", $-   ,Health Care,Biotechnology,,,,,," 514,000,000 ",," 514,000,000 "
90,94,ALXN,Year 3,12/31/2015," $2,604,000,000 ",2604000000.0," $233,000,000 "," $927,000,000 "," $709,000,000 "," 709,000,000 "," 709,000,000 "," $117,000,000 ",Health Care,Biotechnology,,,,,," 709,000,000 ",," 709,000,000 "
91,95,ALXN,Year 4,12/31/2016," $3,084,000,000 ",3084000000.0," $258,000,000 "," $990,000,000 "," $757,000,000 "," 757,000,000 "," 757,000,000 "," $322,000,000 ",Health Care,Biotechnology,,,,,," 757,000,000 ",," 757,000,000 "
92,96,AMAT,Year 1,10/27/2013," $7,509,000,000 ",7509000000.0," $4,518,000,000 "," $898,000,000 "," $1,320,000,000 "," 1,320,000,000 "," 1,320,000,000 ", $-   ,Information Technology,Semiconductor Equipment,,,,,," 1,320,000,000 ",," 1,320,000,000 "
93,97,AMAT,Year 2,10/26/2014," $9,072,000,000 ",9072000000.0," $5,229,000,000 "," $895,000,000 "," $1,428,000,000 "," 1,428,000,000 "," 1,428,000,000 ", $-   ,Information Technology,Semiconductor Equipment,,,,,," 1,428,000,000 ",," 1,428,000,000 "
94,98,AMAT,Year 3,10/25/2015," $9,659,000,000 ",9659000000.0," $5,707,000,000 "," $808,000,000 "," $1,451,000,000 "," 1,451,000,000 "," 1,451,000,000 ", $-   ,Information Technology,Semiconductor Equipment,,,,,," 1,451,000,000 ",," 1,451,000,000 "
95,99,AMAT,Year 4,10/30/2016," $10,825,000,000 ",10825000000.0," $6,314,000,000 "," $819,000,000 "," $1,540,000,000 "," 1,540,000,000 "," 1,540,000,000 ", $-   ,Information Technology,Semiconductor Equipment,,,,,," 1,540,000,000 ",," 1,540,000,000 "
96,100,AME,Year 1,12/31/2012," $3,334,213,000 ",3334213000.0," $2,154,132,000 "," $380,532,000 ", $-   , -   ,    ," $53,677,000 ",Industrials,Electrical Components & Equipment,,,,,,    ,,    
97,101,AME,Year 2,12/31/2013," $3,594,136,000 ",3594136000.0," $2,323,642,000 "," $398,177,000 ", $-   , -   ,    ," $57,238,000 ",Industrials,Electrical Components & Equipment,,,,,,    ,,    
98,102,AME,Year 3,12/31/2014," $4,021,964,000 ",4021964000.0," $2,597,017,000 "," $462,637,000 ", $-   , -   ,    ," $63,724,000 ",Industrials,Electrical Components & Equipment,,,,,,    ,,    
99,103,AME,Year 4,12/31/2015," $3,974,295,000 ",3974295000.0," $2,549,280,000 "," $448,592,000 ", $-   , -   ,    ," $68,707,000 ",Industrials,Electrical Components & Equipment,,,,,,    ,,    
100,108,AMGN,Year 1,12/31/2013," $18,676,000,000 ",18676000000.0," $3,346,000,000 "," $5,380,000,000 "," $4,083,000,000 "," 4,083,000,000 "," 4,083,000,000 ", $-   ,Health Care,Biotechnology,,,,,," 4,083,000,000 ",," 4,083,000,000 "
101,109,AMGN,Year 2,12/31/2014," $20,063,000,000 ",20063000000.0," $4,422,000,000 "," $5,153,000,000 "," $4,297,000,000 "," 4,297,000,000 "," 4,297,000,000 ", $-   ,Health Care,Biotechnology,,,,,," 4,297,000,000 ",," 4,297,000,000 "
102,110,AMGN,Year 3,12/31/2015," $21,662,000,000 ",21662000000.0," $4,227,000,000 "," $4,895,000,000 "," $4,070,000,000 "," 4,070,000,000 "," 4,070,000,000 ", $-   ,Health Care,Biotechnology,,,,,," 4,070,000,000 ",," 4,070,000,000 "
103,111,AMGN,Year 4,12/31/2016," $22,991,000,000 ",22991000000.0," $4,162,000,000 "," $5,195,000,000 "," $3,840,000,000 "," 3,840,000,000 "," 3,840,000,000 ", $-   ,Health Care,Biotechnology,,,,,," 3,840,000,000 ",," 3,840,000,000 "
104,112,AMP,Year 1,12/31/2012," $10,259,000,000 ",10259000000.0," $1,899,000,000 "," $3,927,000,000 ", $-   , -   ,    ," $2,877,000,000 ",Financials,Asset Management & Custody Banks,,,,,,    ,,    
105,113,AMP,Year 2,12/31/2013," $11,230,000,000 ",11230000000.0," $1,954,000,000 "," $3,862,000,000 ", $-   , -   ,    ," $3,132,000,000 ",Financials,Asset Management & Custody Banks,,,,,,    ,,    
106,114,AMP,Year 3,12/31/2014," $12,296,000,000 ",12296000000.0," $1,982,000,000 "," $3,808,000,000 ", $-   , -   ,    ," $3,603,000,000 ",Financials,Asset Management & Custody Banks,,,,,,    ,,    
107,115,AMP,Year 4,12/31/2015," $12,200,000,000 ",12200000000.0," $2,261,000,000 "," $3,750,000,000 ", $-   , -   ,    ," $3,630,000,000 ",Financials,Asset Management & Custody Banks,,,,,,    ,,    
108,116,AMT,Year 1,12/31/2012," $2,875,960,000 ",2875960000.0," $722,479,000 "," $389,486,000 ", $-   , -   ,    ," $644,276,000 ",Real Estate,Specialized REITs,,,,,,    ,,    
109,117,AMT,Year 2,12/31/2013," $3,361,407,000 ",3361407000.0," $859,873,000 "," $487,084,000 ", $-   , -   ,    ," $800,145,000 ",Real Estate,Specialized REITs,,,,,,    ,,    
110,118,AMT,Year 3,12/31/2014," $4,100,048,000 ",4100048000.0," $1,094,265,000 "," $515,059,000 ", $-   , -   ,    ," $1,003,802,000 ",Real Estate,Specialized REITs,,,,,,    ,,    
111,119,AMT,Year 4,12/31/2015," $4,771,516,000 ",4771516000.0," $1,308,868,000 "," $564,531,000 ", $-   , -   ,    ," $1,285,328,000 ",Real Estate,Specialized REITs,,,,,,    ,,    
112,120,AMZN,Year 1,12/31/2013," $74,452,000,000 ",74452000000.0," $54,181,000,000 "," $19,526,000,000 ", $-   , -   ,    , $-   ,Consumer Discretionary,Internet & Direct Marketing Retail,,,,,,    ,,    
113,121,AMZN,Year 2,12/31/2014," $88,988,000,000 ",88988000000.0," $62,752,000,000 "," $26,058,000,000 ", $-   , -   ,    , $-   ,Consumer Discretionary,Internet & Direct Marketing Retail,,,,,,    ,,    
114,122,AMZN,Year 3,12/31/2015," $107,006,000,000 ",107006000000.0," $71,651,000,000 "," $33,122,000,000 ", $-   , -   ,    , $-   ,Consumer Discretionary,Internet & Direct Marketing Retail,,,,,,    ,,    
115,123,AMZN,Year 4,12/31/2016," $135,987,000,000 ",135987000000.0," $88,265,000,000 "," $43,536,000,000 ", $-   , -   ,    , $-   ,Consumer Discretionary,Internet & Direct Marketing Retail,,,,,,    ,,    
